"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV01","WV03"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-05-19","8.28"," 1435"," 1434","0.29",,"0.0","0.0",,"67","43",,"  320","  310",,"25.1","31.1","    1",,"    1",,,,,,,,,,,,"    1",,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-05-20","7.38"," 1434"," 1433","0.00",,"0.0","0.0",,"64","47",,"  350","  340",,"25.1","31.1","    1",,"    1",,,,,,,,,,,,"    1",,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-05-21","7.61"," 1720"," 1720","0.00",,"0.0","0.0",,"74","45",,"  310","  310",,"23.0","38.0","    1",,"    1",,,,,,,,,,,,"    1",,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-05-22","10.07"," 0605"," 0557","0.01",,"0.0","0.0",,"53","39",,"   10","   10",,"17.9","21.0","    1",,,,,,,,,,,,,,"    1",,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-05-23","9.84"," 1525"," 1524","0.01",,,,,"40","36",,"   70","   60",,"16.1","17.9","    1","    1",,,,,,,,,,,,,"    1",,"    1","    1",,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-05-24","9.84"," 1805"," 1139","0.00",,,,,"50","37",,"  110","  110",,"16.1","19.9","    1",,,,,,,,,,,,,,"    1",,"    1",,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-05-25","12.53"," 1444"," 1509","0.04",,"0.0","0.0",,"58","40",,"  150","  160",,"28.0","30.0","    1","    1",,,,,,,,,,,,,"    1",,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-05-26","7.61"," 1848"," 1848","0.72",,"0.0","0.0",,"63","41",,"  110","  120",,"30.0","32.0","    1","    1","    1",,,,,,,,,,,,"    1",,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-05-27","11.86"," 1005"," 1004","0.15",,"0.0","0.0",,"54","44",,"  350","  350",,"23.0","25.9","    1",,,,,,,,,,,,,,"    1",,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-05-28","6.93"," 1610"," 1610","0.16",,"0.0","0.0",,"58","43",,"  120","  120",,"16.1","19.9","    1",,,,,,,,,,,,,,"    1",,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-05-29","15.21"," 1335"," 1334","0.06",,"0.0","0.0",,"55","45",,"  120","  120",,"25.9","30.0","    1",,,,,,,,,,,,,,"    1",,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-05-30","7.61"," 0307"," 0312","0.25",,"0.0","0.0",,"53","44",,"  110","  120",,"14.1","16.1","    1",,"    1",,,,,,,"    1",,,,,"    1",,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-05-31","6.71"," 1508"," 1504","0.17",,"0.0","0.0",,"69","45",,"  360","  350",,"33.1","40.0","    1",,"    1",,,,,"    1",,,,,,,"    1",,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-06-01","6.93"," 1030"," 1511","0.00",,"0.0","0.0",,"72","47",,"  360","   30",,"13.0","16.1",,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-06-02","10.74"," 1656"," 1655","0.26",,"0.0","0.0",,"76","48",,"  280","  280",,"25.9","30.0","    1",,"    1",,,,,,,,,,,,"    1",,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-06-03","6.49"," 1405"," 1404","0.19",,,,,"67","49",,"  300","  300",,"23.9","28.0","    1","    1","    1",,"    1",,,,,,,,,,"    1",,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-06-04","6.71"," 1347"," 1347","0.08",,"0.0","0.0",,"62","49",,"   50","   50",,"16.1","17.0","    1","    1","    1",,,,,,,,,,,,"    1",,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-06-05","8.95"," 2229"," 2231","0.00",,"0.0","0.0",,"75","49",,"  170","  170",,"21.0","23.0",,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-06-06","11.18"," 1802"," 1804","0.00",,"0.0","0.0",,"78","50",,"  350","  360",,"33.1","44.1",,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-06-07","9.40"," 1715"," 1657","0.01",,"0.0","0.0",,"69","46",,"  110","  100",,"25.9","30.0",,,"    1",,,,,,,,,,,,"    1",,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-06-08","11.18"," 0140"," 0139","0.35",,"0.0","0.0",,"51","45",,"   50","   50",,"21.0","23.9","    1",,,,,,,,,,,,,,"    1",,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-06-09","7.38"," 2132"," 2132","0.39",,"0.0","0.0",,"63","41",,"   20","   20",,"21.9","25.9","    1",,"    1",,,,,,,,,,,,"    1",,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-06-10","7.16"," 1835"," 1834","0.01",,"0.0","0.0",,"54","42",,"   30","   30",,"16.1","17.9","    1",,,,,,,,,,,,,,"    1",,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-06-11","7.61"," 0724"," 1258","0.00",,"0.0","0.0",,"73","42",,"  150","  130",,"14.1","16.1",,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-06-12","9.17"," 2329"," 2328","0.00",,"0.0","0.0",,"83","54",,"  200","  200",,"17.9","21.0",,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-06-13","9.62"," 0356"," 0356","0.00",,"0.0","0.0",,"87","59",,"  210","  200",,"17.0","21.9",,,,,,,,"    1",,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-06-14","9.84"," 2123"," 1728","0.01",,"0.0","0.0",,"90","59",,"  180","   20",,"23.0","29.1",,,"    1",,,,,,,,,,,,"    1",,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-06-15","10.29"," 1823"," 1822","0.03",,"0.0","0.0",,"87","57",,"  250","  250",,"28.0","31.1",,,"    1",,,,,"    1",,,,,,,"    1",,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-06-16","18.57"," 2234"," 1218","0.00",,"0.0","0.0",,"85","54",,"  160","  150",,"33.1","42.9",,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-06-17","23.71"," 1405"," 1404","0.25",,"0.0","0.0",,"76","54",,"  170","  170",,"38.9","47.0",,,"    1",,,,,,,,,,,,"    1",,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-06-18","9.62"," 0018"," 0017","0.00",,"0.0","0.0",,"78","48",,"  180","  180",,"23.9","29.1","    1",,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-06-19","9.84"," 2235"," 2208","0.00",,"0.0","0.0",,"88","52",,"  210","  190",,"17.9","23.9",,,,,,,,"    1",,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-06-20","8.72"," 1737"," 1736","0.00",,"0.0","0.0",,"86","50",,"  130","  130",,"21.9","25.1",,,"    1",,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","1995-06-21","12.08"," 1304"," 1304","0.00",,"0.0","0.0",,"85","54",,"  120","  110",,"32.0","48.1",,,"    1",,,,,,,,,,,,,,,,,,,
